"id","name","type","state","city","address","latitude","longitude","phone","email","website","prayer_times","facilities","capacity","established_year","notes"
"13","Masjid Example 13","Masjid","Kedah","Alor Setar","Jalan Masjid Example 13","0.0000","0.0000","03-0000 1013","contact13@example.com","www.masjidexample13.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","165","1993","Generic note about this mosque."
"14","Surau Example 14","Surau","Penang","George Town","Jalan Surau Example 14","0.0000","0.0000","03-0000 1014","contact14@example.com","www.surauexample14.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","170","1994","Generic note about this mosque."
"15","Masjid Example 15","Masjid","Johor","Johor Bahru","Jalan Masjid Example 15","0.0000","0.0000","03-0000 1015","contact15@example.com","www.masjidexample15.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","175","1995","Generic note about this mosque."
"16","Surau Example 16","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 16","0.0000","0.0000","03-0000 1016","contact16@example.com","www.surauexample16.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","180","1996","Generic note about this mosque."
"17","Masjid Example 17","Masjid","Perak","Ipoh","Jalan Masjid Example 17","0.0000","0.0000","03-0000 1017","contact17@example.com","www.masjidexample17.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","185","1997","Generic note about this mosque."
"18","Surau Example 18","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 18","0.0000","0.0000","03-0000 1018","contact18@example.com","www.surauexample18.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","190","1998","Generic note about this mosque."
"19","Masjid Example 19","Masjid","Malacca","Malacca City","Jalan Masjid Example 19","0.0000","0.0000","03-0000 1019","contact19@example.com","www.masjidexample19.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","195","1999","Generic note about this mosque."
"20","Surau Example 20","Surau","Selangor","Shah Alam","Jalan Surau Example 20","0.0000","0.0000","03-0000 1020","contact20@example.com","www.surauexample20.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","200","2000","Generic note about this mosque."
"21","Masjid Example 21","Masjid","Selangor","Klang","Jalan Masjid Example 21","0.0000","0.0000","03-0000 1021","contact21@example.com","www.masjidexample21.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","205","2001","Generic note about this mosque."
"22","Surau Example 22","Surau","Selangor","Puchong","Jalan Surau Example 22","0.0000","0.0000","03-0000 1022","contact22@example.com","www.surauexample22.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","210","2002","Generic note about this mosque."
"23","Masjid Example 23","Masjid","Kedah","Alor Setar","Jalan Masjid Example 23","0.0000","0.0000","03-0000 1023","contact23@example.com","www.masjidexample23.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","215","2003","Generic note about this mosque."
"24","Surau Example 24","Surau","Penang","George Town","Jalan Surau Example 24","0.0000","0.0000","03-0000 1024","contact24@example.com","www.surauexample24.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","220","2004","Generic note about this mosque."
"25","Masjid Example 25","Masjid","Johor","Johor Bahru","Jalan Masjid Example 25","0.0000","0.0000","03-0000 1025","contact25@example.com","www.masjidexample25.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","225","2005","Generic note about this mosque."
"26","Surau Example 26","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 26","0.0000","0.0000","03-0000 1026","contact26@example.com","www.surauexample26.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","230","2006","Generic note about this mosque."
"27","Masjid Example 27","Masjid","Perak","Ipoh","Jalan Masjid Example 27","0.0000","0.0000","03-0000 1027","contact27@example.com","www.masjidexample27.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","235","2007","Generic note about this mosque."
"28","Surau Example 28","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 28","0.0000","0.0000","03-0000 1028","contact28@example.com","www.surauexample28.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","240","2008","Generic note about this mosque."
"29","Masjid Example 29","Masjid","Malacca","Malacca City","Jalan Masjid Example 29","0.0000","0.0000","03-0000 1029","contact29@example.com","www.masjidexample29.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","245","2009","Generic note about this mosque."
"30","Surau Example 30","Surau","Selangor","Shah Alam","Jalan Surau Example 30","0.0000","0.0000","03-0000 1030","contact30@example.com","www.surauexample30.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","250","2010","Generic note about this mosque."
"31","Masjid Example 31","Masjid","Selangor","Klang","Jalan Masjid Example 31","0.0000","0.0000","03-0000 1031","contact31@example.com","www.masjidexample31.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","255","2011","Generic note about this mosque."
"32","Surau Example 32","Surau","Selangor","Puchong","Jalan Surau Example 32","0.0000","0.0000","03-0000 1032","contact32@example.com","www.surauexample32.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","260","2012","Generic note about this mosque."
"33","Masjid Example 33","Masjid","Kedah","Alor Setar","Jalan Masjid Example 33","0.0000","0.0000","03-0000 1033","contact33@example.com","www.masjidexample33.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","265","2013","Generic note about this mosque."
"34","Surau Example 34","Surau","Penang","George Town","Jalan Surau Example 34","0.0000","0.0000","03-0000 1034","contact34@example.com","www.surauexample34.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","270","2014","Generic note about this mosque."
"35","Masjid Example 35","Masjid","Johor","Johor Bahru","Jalan Masjid Example 35","0.0000","0.0000","03-0000 1035","contact35@example.com","www.masjidexample35.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","275","2015","Generic note about this mosque."
"36","Surau Example 36","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 36","0.0000","0.0000","03-0000 1036","contact36@example.com","www.surauexample36.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","280","2016","Generic note about this mosque."
"37","Masjid Example 37","Masjid","Perak","Ipoh","Jalan Masjid Example 37","0.0000","0.0000","03-0000 1037","contact37@example.com","www.masjidexample37.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","285","2017","Generic note about this mosque."
"38","Surau Example 38","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 38","0.0000","0.0000","03-0000 1038","contact38@example.com","www.surauexample38.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","290","2018","Generic note about this mosque."
"39","Masjid Example 39","Masjid","Malacca","Malacca City","Jalan Masjid Example 39","0.0000","0.0000","03-0000 1039","contact39@example.com","www.masjidexample39.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","295","2019","Generic note about this mosque."
"40","Surau Example 40","Surau","Selangor","Shah Alam","Jalan Surau Example 40","0.0000","0.0000","03-0000 1040","contact40@example.com","www.surauexample40.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","300","1980","Generic note about this mosque."
"41","Masjid Example 41","Masjid","Selangor","Klang","Jalan Masjid Example 41","0.0000","0.0000","03-0000 1041","contact41@example.com","www.masjidexample41.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","305","1981","Generic note about this mosque."
"42","Surau Example 42","Surau","Selangor","Puchong","Jalan Surau Example 42","0.0000","0.0000","03-0000 1042","contact42@example.com","www.surauexample42.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","310","1982","Generic note about this mosque."
"43","Masjid Example 43","Masjid","Kedah","Alor Setar","Jalan Masjid Example 43","0.0000","0.0000","03-0000 1043","contact43@example.com","www.masjidexample43.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","315","1983","Generic note about this mosque."
"44","Surau Example 44","Surau","Penang","George Town","Jalan Surau Example 44","0.0000","0.0000","03-0000 1044","contact44@example.com","www.surauexample44.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","320","1984","Generic note about this mosque."
"45","Masjid Example 45","Masjid","Johor","Johor Bahru","Jalan Masjid Example 45","0.0000","0.0000","03-0000 1045","contact45@example.com","www.masjidexample45.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","325","1985","Generic note about this mosque."
"46","Surau Example 46","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 46","0.0000","0.0000","03-0000 1046","contact46@example.com","www.surauexample46.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","330","1986","Generic note about this mosque."
"47","Masjid Example 47","Masjid","Perak","Ipoh","Jalan Masjid Example 47","0.0000","0.0000","03-0000 1047","contact47@example.com","www.masjidexample47.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","335","1987","Generic note about this mosque."
"48","Surau Example 48","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 48","0.0000","0.0000","03-0000 1048","contact48@example.com","www.surauexample48.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","340","1988","Generic note about this mosque."
"49","Masjid Example 49","Masjid","Malacca","Malacca City","Jalan Masjid Example 49","0.0000","0.0000","03-0000 1049","contact49@example.com","www.masjidexample49.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","345","1989","Generic note about this mosque."
"50","Surau Example 50","Surau","Selangor","Shah Alam","Jalan Surau Example 50","0.0000","0.0000","03-0000 1050","contact50@example.com","www.surauexample50.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","350","1990","Generic note about this mosque."
"51","Masjid Example 51","Masjid","Selangor","Klang","Jalan Masjid Example 51","0.0000","0.0000","03-0000 1051","contact51@example.com","www.masjidexample51.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","355","1991","Generic note about this mosque."
"52","Surau Example 52","Surau","Selangor","Puchong","Jalan Surau Example 52","0.0000","0.0000","03-0000 1052","contact52@example.com","www.surauexample52.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","360","1992","Generic note about this mosque."
"53","Masjid Example 53","Masjid","Kedah","Alor Setar","Jalan Masjid Example 53","0.0000","0.0000","03-0000 1053","contact53@example.com","www.masjidexample53.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","365","1993","Generic note about this mosque."
"54","Surau Example 54","Surau","Penang","George Town","Jalan Surau Example 54","0.0000","0.0000","03-0000 1054","contact54@example.com","www.surauexample54.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","370","1994","Generic note about this mosque."
"55","Masjid Example 55","Masjid","Johor","Johor Bahru","Jalan Masjid Example 55","0.0000","0.0000","03-0000 1055","contact55@example.com","www.masjidexample55.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","375","1995","Generic note about this mosque."
"56","Surau Example 56","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 56","0.0000","0.0000","03-0000 1056","contact56@example.com","www.surauexample56.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","380","1996","Generic note about this mosque."
"57","Masjid Example 57","Masjid","Perak","Ipoh","Jalan Masjid Example 57","0.0000","0.0000","03-0000 1057","contact57@example.com","www.masjidexample57.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","385","1997","Generic note about this mosque."
"58","Surau Example 58","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 58","0.0000","0.0000","03-0000 1058","contact58@example.com","www.surauexample58.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","390","1998","Generic note about this mosque."
"59","Masjid Example 59","Masjid","Malacca","Malacca City","Jalan Masjid Example 59","0.0000","0.0000","03-0000 1059","contact59@example.com","www.masjidexample59.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","395","1999","Generic note about this mosque."
"60","Surau Example 60","Surau","Selangor","Shah Alam","Jalan Surau Example 60","0.0000","0.0000","03-0000 1060","contact60@example.com","www.surauexample60.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","400","2000","Generic note about this mosque."
"61","Masjid Example 61","Masjid","Selangor","Klang","Jalan Masjid Example 61","0.0000","0.0000","03-0000 1061","contact61@example.com","www.masjidexample61.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","405","2001","Generic note about this mosque."
"62","Surau Example 62","Surau","Selangor","Puchong","Jalan Surau Example 62","0.0000","0.0000","03-0000 1062","contact62@example.com","www.surauexample62.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","410","2002","Generic note about this mosque."
"63","Masjid Example 63","Masjid","Kedah","Alor Setar","Jalan Masjid Example 63","0.0000","0.0000","03-0000 1063","contact63@example.com","www.masjidexample63.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","415","2003","Generic note about this mosque."
"64","Surau Example 64","Surau","Penang","George Town","Jalan Surau Example 64","0.0000","0.0000","03-0000 1064","contact64@example.com","www.surauexample64.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","420","2004","Generic note about this mosque."
"65","Masjid Example 65","Masjid","Johor","Johor Bahru","Jalan Masjid Example 65","0.0000","0.0000","03-0000 1065","contact65@example.com","www.masjidexample65.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","425","2005","Generic note about this mosque."
"66","Surau Example 66","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 66","0.0000","0.0000","03-0000 1066","contact66@example.com","www.surauexample66.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","430","2006","Generic note about this mosque."
"67","Masjid Example 67","Masjid","Perak","Ipoh","Jalan Masjid Example 67","0.0000","0.0000","03-0000 1067","contact67@example.com","www.masjidexample67.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","435","2007","Generic note about this mosque."
"68","Surau Example 68","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 68","0.0000","0.0000","03-0000 1068","contact68@example.com","www.surauexample68.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","440","2008","Generic note about this mosque."
"69","Masjid Example 69","Masjid","Malacca","Malacca City","Jalan Masjid Example 69","0.0000","0.0000","03-0000 1069","contact69@example.com","www.masjidexample69.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","445","2009","Generic note about this mosque."
"70","Surau Example 70","Surau","Selangor","Shah Alam","Jalan Surau Example 70","0.0000","0.0000","03-0000 1070","contact70@example.com","www.surauexample70.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","450","2010","Generic note about this mosque."
"71","Masjid Example 71","Masjid","Selangor","Klang","Jalan Masjid Example 71","0.0000","0.0000","03-0000 1071","contact71@example.com","www.masjidexample71.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","455","2011","Generic note about this mosque."
"72","Surau Example 72","Surau","Selangor","Puchong","Jalan Surau Example 72","0.0000","0.0000","03-0000 1072","contact72@example.com","www.surauexample72.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","460","2012","Generic note about this mosque."
"73","Masjid Example 73","Masjid","Kedah","Alor Setar","Jalan Masjid Example 73","0.0000","0.0000","03-0000 1073","contact73@example.com","www.masjidexample73.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","465","2013","Generic note about this mosque."
"74","Surau Example 74","Surau","Penang","George Town","Jalan Surau Example 74","0.0000","0.0000","03-0000 1074","contact74@example.com","www.surauexample74.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","470","2014","Generic note about this mosque."
"75","Masjid Example 75","Masjid","Johor","Johor Bahru","Jalan Masjid Example 75","0.0000","0.0000","03-0000 1075","contact75@example.com","www.masjidexample75.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","475","2015","Generic note about this mosque."
"76","Surau Example 76","Surau","Kuala Lumpur","Kuala Lumpur","Jalan Surau Example 76","0.0000","0.0000","03-0000 1076","contact76@example.com","www.surauexample76.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","480","2016","Generic note about this mosque."
"77","Masjid Example 77","Masjid","Perak","Ipoh","Jalan Masjid Example 77","0.0000","0.0000","03-0000 1077","contact77@example.com","www.masjidexample77.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","485","2017","Generic note about this mosque."
"78","Surau Example 78","Surau","Negeri Sembilan","Seremban","Jalan Surau Example 78","0.0000","0.0000","03-0000 1078","contact78@example.com","www.surauexample78.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","490","2018","Generic note about this mosque."
"79","Masjid Example 79","Masjid","Malacca","Malacca City","Jalan Masjid Example 79","0.0000","0.0000","03-0000 1079","contact79@example.com","www.masjidexample79.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","495","2019","Generic note about this mosque."
"80","Surau Example 80","Surau","Selangor","Shah Alam","Jalan Surau Example 80","0.0000","0.0000","03-0000 1080","contact80@example.com","www.surauexample80.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","500","1980","Generic note about this mosque."
"81","Masjid Example 81","Masjid","Selangor","Klang","Jalan Masjid Example 81","0.0000","0.0000","03-0000 1081","contact81@example.com","www.masjidexample81.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","505","1981","Generic note about this mosque."
"82","Surau Example 82","Surau","Selangor","Puchong","Jalan Surau Example 82","0.0000","0.0000","03-0000 1082","contact82@example.com","www.surauexample82.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","510","1982","Generic note about this mosque."
"83","Masjid Example 83","Masjid","Kedah","Alor Setar","Jalan Masjid Example 83","0.0000","0.0000","03-0000 1083","contact83@example.com","www.masjidexample83.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","515","1983","Generic note about this mosque."
"84","Surau Example 84","Surau","Penang","George Town","Jalan Surau Example 84","0.0000","0.0000","03-0000 1084","contact84@example.com","www.surauexample84.my","Fajr: 05:30, Dhuhr: 13:15, Asr: 16:30, Maghrib: 19:30, Isha: 20:45","Wi-Fi, Parking, Surau, Community Center","520","1984","Generic note about this mosque."
